C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
135,0,0,0,0,12613.092857911348,16373.237798070426,12933.205674957331,7585.354289131258
136,0,0,0,0,12445.138047223894,16487.927262279172,13036.23249089827,7665.6650210327225
137,0,0,0,0,12275.029639986396,16592.92671427306,13138.80395103977,7744.904713143058
138,0,0,0,0,12101.439707118301,16688.38014702977,13240.703561763363,7823.635704215091
139,0,0,0,0,11926.96827707176,16776.77233207258,13342.917053990976,7902.162294381588
140,0,0,0,0,11746.440422475047,16869.21299374702,13447.780515482535,7981.059862574238
141,0,0,0,0,11563.3145740629,16952.48252934911,13552.711649474184,8060.5645178345
142,0,0,0,0,11376.976138405067,17089.363539110676,13657.086336466535,8139.93752564585
143,0,0,0,0,11189.100823090172,17214.52835259957,13761.069953287977,8219.813529428659
144,0,0,0,0,11002.525749400345,17328.740860506892,13864.412083297742,8290.586259199083
145,0,0,0,0,10814.203619021688,17432.3628800907,13970.461863694745,8373.179849838218
146,0,0,0,0,10624.327382039683,17527.300034653264,14077.413510214235,8457.272708316297
147,0,0,0,0,10434.951402837283,17611.889176021086,14184.603401981743,8542.521960238026
148,0,0,0,0,10247.560715990225,17705.249195923974,14293.970366340922,8627.828587483673
149,0,0,0,0,10050.408717253045,17851.95197517729,14404.706584200272,8713.948494357495
150,0,0,0,0,9853.978825030783,17990.98401249203,14516.37274884894,8801.281449612681
151,0,0,0,0,9652.698605071586,18105.836540758337,14628.638022930096,8889.945074172996
152,0,0,0,0,9446.07528527933,18184.585379882654,14743.37240655373,8979.55755530515
153,0,0,0,0,9236.186721943415,18242.813004494707,14850.38689110523,9070.898300966152
154,0,0,0,0,9022.417090307217,18289.262008734546,14944.058377380705,9165.41585010031
155,0,0,0,0,8809.502117466998,18326.680847126005,15038.957613149423,9260.920026634209
156,0,0,0,0,8595.654336327889,18363.17094670029,15135.331526370552,9350.521704734378
157,0,0,0,0,8369.337055481492,18391.674136426805,15233.388290714403,9428.760730501515
158,0,0,0,0,8141.713706122561,18405.777452592312,15333.205053097872,9507.884257937538
159,0,0,0,0,7914.382902631921,18416.54645639075,15433.686615160346,9587.90400725408
160,0,0,0,0,7687.953092007321,18422.113956910383,15535.431044348497,9670.563816825856
161,0,0,0,0,7458.7841806578235,18416.87820879319,15639.037039117095,9754.541200678417
162,0,0,0,0,7223.171571780022,18383.342626178695,15744.47045703375,9838.484403165969
163,0,0,0,0,6985.430111090378,18428.013946370633,15850.970388854621,9922.960714510536
164,0,0,0,0,6747.609636135591,18461.08814472675,15958.725713302807,10007.984069020269
165,0,0,0,0,6510.701168897057,18488.741964197667,16068.046977638882,10095.08210291522
166,0,0,0,0,6271.16463331134,18504.750914209224,16179.140731960433,10183.772275123447
167,0,0,0,0,6030.994535745039,18516.18173301785,16291.871974979917,10272.903924875487
168,0,0,0,0,5791.458734604476,18519.31256068012,16406.498785339787,10363.563787311945
169,0,0,0,0,5547.69803395029,18509.178558691263,16504.03990468222,10455.5648135108
170,0,0,0,0,5300.492092511189,18494.17073524312,16646.363408979425,10548.995730928473
171,0,0,0,0,5046.70538055312,18473.92464740767,16789.510658194962,10643.687944993366
172,0,0,0,0,4791.956628742587,18437.28533708473,16933.82934998643,10740.013237983203
173,0,0,0,0,4538.780672708273,18391.520174329387,17074.714087514778,10837.615322110416
174,0,0,0,0,4284.694382263669,18339.185625141632,17215.331060935976,10936.845193144623
175,0,0,0,0,4028.579587694698,18278.230700732453,17353.769634766173,11020.608693526023
176,0,0,0,0,3771.2540891919843,18207.50024539116,17491.473277813533,11122.030535691973
177,0,0,0,0,3503.4468024146813,18109.9513946169,17618.68187914904,11224.705955133079
178,0,0,0,0,3234.413510532125,18005.100728196827,17734.563591128324,11328.715044896084
179,0,0,0,0,2959.7453211895745,17894.534931234593,17850.681063277407,11434.615706501161
180,0,0,0,0,2684.809188308256,17777.920442158258,17964.60464981655,11538.42062274756
181,0,0,0,0,2408.8207894516254,17656.893840980338,18076.689964654426,11625.550039156084
182,0,0,0,0,2129.3657435240757,17541.901382330314,18187.75279404942,11713.35624133828
183,0,0,0,0,1850.5043911129126,17421.090858113585,18297.210309463793,11802.148666476553
184,0,0,0,0,1573.9290065902794,17295.364023799088,18400.164785505443,11892.103855470188
185,0,0,0,0,1297.7699745613716,17161.023208070194,18541.343510955336,11983.569808547862
186,0,0,0,0,1020.2231992152102,17020.79916373843,18682.303880112206,12075.791002717426
187,0,0,0,0,742.2034311908733,16875.656924390627,18821.208728791265,12169.115585334714
188,0,0,0,0,466.36214555546775,16729.870448735313,18954.900187094012,12249.653769664574
189,0,0,0,0,189.7662496586284,16585.207341255777,19084.713427790895,12354.057496756126
190,0,0,0,0,0,16433.123821957357,19214.700801742045,12460.463536788451
191,0,0,0,0,0,16279.33193524058,19344.90015629572,12568.69117702107
192,0,0,0,0,0,16125.09208479832,19474.29724323337,12651.893768634978
193,0,0,0,0,0,15967.77167497289,19605.58309775707,12757.783423020352
194,0,0,0,0,0,15808.133954848594,19735.519478518017,12862.845793146565
195,0,0,0,0,0,15643.689787572359,19860.817699894076,12968.484842349964
196,0,0,0,0,0,15476.605326978743,19953.6416368949,13072.688257485359
197,0,0,0,0,0,15307.880025960949,20092.06047561374,13177.928626851392
198,0,0,0,0,0,15138.434140302465,20229.80111073614,13284.5641566457
199,0,0,0,0,0,14954.222755035904,20363.517947812867,13392.396262153221
200,0,0,0,0,0,14764.883396157607,20486.497024246804,13478.896005666333
201,0,0,0,0,0,14574.453061143196,20604.799904658543,13560.982210305627
202,0,0,0,0,0,14384.116543574446,20714.588512553546,13641.856999968124
203,0,0,0,0,0,14192.080289528061,20818.70998093326,13722.631966372148
204,0,0,0,0,0,13994.593135284566,20914.268596419566,13803.710480101892
205,0,0,0,0,0,13793.794780602222,21007.1541107582,13885.91355963149
206,0,0,0,0,0,13589.917525876746,21103.5183085088,13968.824578196203
207,0,0,0,0,0,13385.384897192283,21180.421810787884,14052.343923611395
208,0,0,0,0,0,13182.300023931304,21314.36697939891,14137.51010245842
209,0,0,0,0,0,12977.965146581704,21442.718500107487,14222.912610373854
210,0,0,0,0,0,12771.977433101885,21561.133946201724,14309.656854057006
211,0,0,0,0,0,12563.666498557031,21669.539170549346,14396.263779603032
212,0,0,0,0,0,12353.665704995872,21759.93755945436,14482.453649885318
213,0,0,0,0,0,12146.354684962454,21824.11824265595,14571.306393605359
214,0,0,0,0,0,11940.980479532309,21884.905738181904,14662.18210144911
215,0,0,0,0,0,11734.971373654396,21942.001642125844,14753.289980855954
216,0,0,0,0,0,11528.824275844843,21940.99780407033,14826.32434617648
217,0,0,0,0,0,11318.44345822008,22034.93276424782,14896.381962834666
218,0,0,0,0,0,11101.278768550004,22126.361357249756,14966.687222627908
219,0,0,0,0,0,10882.124435155938,22207.285924860385,15038.34072122389
220,0,0,0,0,0,10658.209052883285,22288.8469322246,15110.981073781257
221,0,0,0,0,0,10432.078511085745,22353.234746415616,15184.359533109255
222,0,0,0,0,0,10200.991868488492,22409.24533012746,15258.786942390989
223,0,0,0,0,0,9969.966152859693,22450.378124720435,15335.270492290796
224,0,0,0,0,0,9739.611471551292,22483.293514173594,15413.062922505393
225,0,0,0,0,0,9511.180228013287,22506.108403342852,15491.390004111245
226,0,0,0,0,0,9281.219934759512,22509.99329323206,15570.847625144457
227,0,0,0,0,0,9050.663610785969,22507.479377421118,15651.406258445879
228,0,0,0,0,0,8821.669081366827,22502.832394436395,15733.523352086764
229,0,0,0,0,0,8594.16460570292,22493.85854863001,15803.867326884212
230,0,0,0,0,0,8365.464325372497,22477.928490095488,15864.996758651738
231,0,0,0,0,0,8136.518945615272,22453.415547770717,15925.20081832568
232,0,0,0,0,0,7903.518943974961,22376.317394455582,15987.752706536561
233,0,0,0,0,0,7664.348220915659,22395.98478393428,16050.02483136478
234,0,0,0,0,0,7423.8193408329,22405.794981140258,16113.337045674685
235,0,0,0,0,0,7182.651240376047,22406.874586632377,16178.070191479306
236,0,0,0,0,0,6940.889322502581,22400.37349043211,16244.53904128997
237,0,0,0,0,0,6696.955546995931,22377.575925880457,16312.93080755333
238,0,0,0,0,0,6453.258070209964,22342.650263225212,16382.75866924647
239,0,0,0,0,0,6210.311136406597,22293.89803136667,16452.960237756743
240,0,0,0,0,0,5966.758220678376,22241.74163963707,16513.422283126565
241,0,0,0,0,0,5704.245500122494,22181.74966716266,16566.647627713668
242,0,0,0,0,0,5450.705917424792,22124.04124806976,16621.286866238373
243,0,0,0,0,0,5192.714962037351,22068.859944264954,16677.476587241235
244,0,0,0,0,0,4935.339647249797,22009.93589743478,16735.105588022012
245,0,0,0,0,0,4676.794232044126,21938.8682015188,16794.13519825047
246,0,0,0,0,0,4422.093574564132,21863.09275646431,16854.798393433644
247,0,0,0,0,0,4166.673214146854,21779.557197235255,16916.912464013112
248,0,0,0,0,0,3911.5690975353627,21690.844677209865,16980.452083101318
249,0,0,0,0,0,3656.7431160087294,21596.442420209954,17042.844708613597
250,0,0,0,0,0,3401.7135749865092,21496.03103272819,17103.503751227465
251,0,0,0,0,0,3147.3718590917683,21390.523282551345,17166.254115032316
252,0,0,0,0,0,2886.575240918495,21282.377836482647,17231.029600980266
253,0,0,0,0,0,2624.354405387296,21173.676659450935,17297.85464928689
254,0,0,0,0,0,2351.674876069732,21057.53189527989,17367.017834829297
255,0,0,0,0,0,2234.199690556588,20938.96212472902,17438.56672656799
256,0,0,0,0,0,1892.0500687747592,20809.864461266694,17513.833231955527
257,0,0,0,0,0,1637.6100561100939,20679.825022183668,17579.46147007791
258,0,0,0,0,0,1388.9141523519258,20553.726166195444,17595.98416870587
