C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
158,0,0,0,0,1315881.99679141,2212301.3489053366,2753951.5604197723,3128585.8356007272
159,0,0,0,0,1305441.6630198234,2223171.914105305,2769205.1499330597,3153239.33864542
160,0,0,0,0,1295333.4114953466,2234297.71410644,2784606.6035925355,3176244.0235130754
161,0,0,0,0,1285274.3660731881,2245814.568605001,2800158.722105443,3198803.428069075
162,0,0,0,0,1275014.5027012776,2256754.988513624,2816621.2256266437,3221577.1333309175
163,0,0,0,0,1264467.177034601,2267294.1553525683,2833272.513637065,3244567.940127934
164,0,0,0,0,1252812.6733009822,2277251.9652659465,2850084.664349707,3267778.744617815
165,0,0,0,0,1239345.2629531678,2287275.1623075805,2867046.6079274416,3291212.5462079253
166,0,0,0,0,1225788.9146738378,2298304.123071291,2884128.9874822437,3314872.4528494566
167,0,0,0,0,1211594.2995232295,2309481.53531175,2902468.377854263,3338761.6865612315
168,0,0,0,0,1197621.804123042,2319801.0701617994,2921254.6292023472,3362883.5891967746
169,0,0,0,0,1183843.7229050042,2329745.218975941,2940098.7482883884,3387241.6284691864
170,0,0,0,0,1169585.2215816483,2339139.6972673023,2959118.113955486,3411839.4042494553
171,0,0,0,0,1155289.5358507084,2348072.5950393435,2978319.205014215,3436680.6551550687
172,0,0,0,0,1140216.9038735258,2356833.9645735123,2997625.769078887,3461769.265447015
173,0,0,0,0,1125538.239486763,2365654.6148377145,3017005.6314536645,3487109.2722546826
174,0,0,0,0,1110439.3453468997,2489260.843182194,3037447.950991119,3512704.8731497065
175,0,0,0,0,1094176.5754899501,2529669.163314396,3059579.3099156935,3538549.903252357
176,0,0,0,0,1077271.740560754,2547069.1210784973,3081836.1171582676,3564610.863492115
177,0,0,0,0,1059713.3132256225,2564745.4842756703,3103982.2989940364,3590936.798679337
